Ticker,close,date,high,low,month,open,volume,year,day,time
ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,10,2418.0,2019899,2023,3,05:30:00
ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,10,2402.2,2857377,2023,4,05:30:00
ADANIENT,2466.35,2023-10-05 05:30:00,2486.5,2446.4,10,2477.95,1132455,2023,5,05:30:00
ADANIENT,2478.1,2023-10-06 05:30:00,2514.95,2466.05,10,2466.35,1510035,2023,6,05:30:00
ADANIENT,2442.6,2023-10-09 05:30:00,2459.7,2411.3,10,2440.0,1408224,2023,9,05:30:00
ADANIENT,2498.3,2023-10-10 05:30:00,2517.95,2443.0,10,2443.0,1771910,2023,10,05:30:00
ADANIENT,2488.6,2023-10-11 05:30:00,2538.0,2482.5,10,2533.9,1627836,2023,11,05:30:00
ADANIENT,2506.35,2023-10-12 05:30:00,2521.75,2490.65,10,2499.9,1804818,2023,12,05:30:00
ADANIENT,2454.55,2023-10-13 05:30:00,2495.0,2422.35,10,2488.9,2278682,2023,13,05:30:00
ADANIENT,2429.35,2023-10-16 05:30:00,2464.7,2421.85,10,2454.55,803856,2023,16,05:30:00
ADANIENT,2428.4,2023-10-17 05:30:00,2462.0,2423.5,10,2459.95,707543,2023,17,05:30:00
ADANIENT,2406.35,2023-10-18 05:30:00,2441.75,2401.05,10,2440.0,776977,2023,18,05:30:00
ADANIENT,2402.2,2023-10-19 05:30:00,2414.7,2382.55,10,2400.0,1168822,2023,19,05:30:00
ADANIENT,2393.75,2023-10-20 05:30:00,2443.95,2382.05,10,2398.05,1240350,2023,20,05:30:00
ADANIENT,2308.65,2023-10-23 05:30:00,2412.35,2301.8,10,2397.8,1483549,2023,23,05:30:00
ADANIENT,2257.0,2023-10-25 05:30:00,2348.05,2235.3,10,2320.0,1540819,2023,25,05:30:00
ADANIENT,2203.2,2023-10-26 05:30:00,2249.0,2167.05,10,2249.0,2226073,2023,26,05:30:00
ADANIENT,2261.7,2023-10-27 05:30:00,2275.0,2212.0,10,2222.0,1244293,2023,27,05:30:00
ADANIENT,2299.1,2023-10-30 05:30:00,2305.0,2250.0,10,2260.05,996448,2023,30,05:30:00
ADANIENT,2294.65,2023-10-31 05:30:00,2320.0,2276.0,10,2320.0,1155280,2023,31,05:30:00
ADANIENT,2217.3,2023-11-01 05:30:00,2312.25,2207.0,11,2299.0,1666579,2023,1,05:30:00
ADANIENT,2215.3,2023-11-02 05:30:00,2297.95,2204.2,11,2247.0,2340997,2023,2,05:30:00
ADANIENT,2229.85,2023-11-03 05:30:00,2279.0,2215.0,11,2215.3,1853300,2023,3,05:30:00
ADANIENT,2246.0,2023-11-06 05:30:00,2260.0,2233.0,11,2253.95,770061,2023,6,05:30:00
ADANIENT,2233.35,2023-11-07 05:30:00,2260.0,2226.65,11,2257.0,641554,2023,7,05:30:00
ADANIENT,2259.95,2023-11-08 05:30:00,2298.0,2235.0,11,2245.3,1169180,2023,8,05:30:00
ADANIENT,2214.65,2023-11-09 05:30:00,2272.6,2210.1,11,2269.0,1267890,2023,9,05:30:00
ADANIENT,2205.1,2023-11-10 05:30:00,2237.0,2198.5,11,2220.25,1072597,2023,10,05:30:00
ADANIENT,2211.35,2023-11-12 05:30:00,2226.0,2205.1,11,2219.7,148320,2023,12,05:30:00
ADANIENT,2213.65,2023-11-13 05:30:00,2241.9,2195.55,11,2215.5,853633,2023,13,05:30:00
ADANIENT,2225.4,2023-11-15 05:30:00,2250.0,2220.5,11,2240.0,696475,2023,15,05:30:00
ADANIENT,2205.9,2023-11-16 05:30:00,2232.8,2196.1,11,2226.0,1307584,2023,16,05:30:00
ADANIENT,2208.8,2023-11-17 05:30:00,2237.95,2201.0,11,2205.9,916518,2023,17,05:30:00
ADANIENT,2149.85,2023-11-20 05:30:00,2218.5,2142.0,11,2211.0,1577213,2023,20,05:30:00
ADANIENT,2196.65,2023-11-21 05:30:00,2232.55,2158.35,11,2160.0,1839502,2023,21,05:30:00
ADANIENT,2172.65,2023-11-22 05:30:00,2225.0,2153.5,11,2205.15,1247205,2023,22,05:30:00
ADANIENT,2175.25,2023-11-23 05:30:00,2190.0,2160.6,11,2190.0,729114,2023,23,05:30:00
ADANIENT,2225.45,2023-11-24 05:30:00,2251.95,2160.9,11,2179.0,1946259,2023,24,05:30:00
