Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
JSWSTEEL,0.5239091520483903,0.5587771031612603,0.3026271683423417,0.41483509440789024,0.3672465935837419,0.30755464732126797,0.4256239115417509,0.4071893488459182,0.5557878458998631,0.34000389567289874,0.388070710216151,0.3172972234325056,0.19802870167512465,0.5041114485687683,0.24754683188302068,0.3708436025469581,0.5504210410380789,0.33993144901198835,0.45175072593953275,0.15979598177851073,0.29711957721770416,0.6621104703666567,0.19233724271595426,0.4474256637983876,0.46050081337363963,0.26630245245563716,0.39911369192584173,1.0,0.3880355174596999,0.5600492983627483,0.434760158327156,0.3156482299735511,0.3112485604233453,0.5948801101322552,0.47150370240846845,0.5365296652153915,0.49929341879464745,0.21197176873355988,0.5215492480763887,0.42590001630578045,0.2889154302523712,0.3668311585626115,0.4789841538329778,0.8218131122884883,0.2992216952259815,0.31844578121366834,0.369486043455154,0.29982111073729356,0.6150782774658486,0.4615645585228778
KOTAKBANK,0.35846896631453606,0.432396671833895,0.16615120872286004,0.2903482175830172,0.3021197343106375,0.17808527882599987,0.2591003717149207,0.33285575076227875,0.3938894494018014,0.2824191755108794,0.14865026328566866,0.3430167449283964,0.06842134062604249,0.30006876590354836,-0.04693772158624237,0.23317573810582884,0.2934347451693441,0.25154092727691574,0.481422862263406,0.12954520049345122,0.21627194873769104,0.330841037801997,0.22166705489855804,0.4880625174846242,0.3710652036279842,0.24389366539951218,0.3400618458725893,0.3880355174596999,1.0,0.3738968805122312,0.2438516940335352,0.15562240994427692,0.28950460015325374,0.35632634743529257,0.25667756451455076,0.30399860105916043,0.4274251799884825,0.2621029396103108,0.3700919139944338,0.26563971712727324,0.12574662749596513,0.34745794560701304,0.2722747878465044,0.3365948306745296,0.24551487883649167,0.2309350569182665,0.22172113005743188,0.1387634082465831,0.4478592203918264,0.37608598763648543
LT,0.6146666832837877,0.6506829287477447,0.2678009608274162,0.3361695077641471,0.35350204956193765,0.286886173989451,0.3652809129963777,0.3748720739295227,0.6854872181811981,0.2814492554828419,0.46361235445730126,0.2503304497870958,0.20064142178349226,0.5625762499884189,0.1356715616976745,0.3433829392645508,0.41401268995500673,0.3532052789640762,0.44419777614766337,0.15049130601503174,0.302450437666612,0.46485771897475686,0.09213728838878935,0.48921460334712064,0.48013391856471127,0.30682006378530335,0.3476248145616769,0.5600492983627483,0.3738968805122312,1.0,0.3628645354488373,0.24595280055481492,0.3026710375180284,0.6405992631024768,0.5545365072626774,0.5588561421454115,0.6060182244091031,0.3044792836866863,0.5834291158584018,0.4330125812796323,0.20097966072902207,0.357533985233057,0.4529143211006392,0.5368996434022785,0.34628620924770154,0.27450463878697645,0.29647481196255915,0.24199894510836126,0.6069713216890309,0.4591375606954551
M&M,0.31205507395540866,0.3189493040285003,0.25478578200932833,0.15920492945216932,0.24751355007930517,0.28990986128863877,0.3344405858260885,0.2724816945284673,0.3582319931416258,0.2726892116186353,0.27297356303426223,0.16190107516615154,0.18108892094991358,0.3032903672695312,0.21885717308570096,0.35743636400826356,0.3081649718545503,0.21772863901259237,0.3431949236517133,0.1915610180635836,0.36314064248187206,0.2966825355816761,0.14400379612742767,0.3242930435329521,0.358508716987859,0.2495110292110599,0.21588865451519068,0.434760158327156,0.2438516940335352,0.3628645354488373,1.0,0.3803549551547863,0.23532096630870808,0.32449443675848316,0.29435057749034155,0.30283848701909094,0.3102247547362408,0.19171860758986914,0.32137407777864396,0.36474153025022976,0.2893846159648593,0.19875845316708723,0.40687391208941204,0.43141278299429525,0.20133308933427027,0.22485556767267537,0.29555861742874784,0.2542586200322242,0.4123383322080763,0.3149008212564117
MARUTI,0.21568836813961506,0.17434250856914146,0.16529806917337436,0.18421345749118662,0.25769969820658967,0.2800771815122713,0.33403301786413764,0.2798768508800836,0.10556330665496444,0.3486031738402752,0.2706784403784786,0.10264240552458494,0.052545671490383486,0.22596416542558728,0.12706414512363948,0.3677823792482536,0.2599641674462988,0.146370481734447,0.1789588323694266,0.2977230784713047,0.24208170363423284,0.1836782964808975,0.1216151976619822,0.18706990466900464,0.26292417626854914,0.09164383663986671,0.20145616681274692,0.3156482299735511,0.15562240994427692,0.24595280055481492,0.3803549551547863,1.0,0.136320850960663,0.18770435151247472,0.2739223189643698,0.2083543772521376,0.2808187320011568,0.30134601434721,0.21237201764290836,0.2826942671581712,0.16473506004785932,0.10821170089991974,0.32559338638877444,0.33805322788527,0.1136596255984249,0.11178191267796914,0.2828427046891161,0.15075962173152188,0.22776419981797152,0.11201324864599317
NESTLEIND,0.34385328132061493,0.3575116612159673,0.2754362132689904,0.44157606674048505,0.13548751952608373,0.3349555677572495,0.2604349906436796,0.27136820353188057,0.34846482338126034,0.08585401715189735,0.0957537599538023,0.5892927995218922,0.15133751900729797,0.19319172103222168,0.20564590010787365,0.2137608350960455,0.35909501376720004,0.3368563702904838,0.2776433353740218,-0.035611740698661874,0.37049231371230484,0.35350116702137524,0.5109618799926364,0.2606486856483204,0.29966506424346273,0.2328442341042059,0.4411251963743357,0.3112485604233453,0.28950460015325374,0.3026710375180284,0.23532096630870808,0.136320850960663,1.0,0.3139084968219667,0.10732590251868993,0.2753631088555405,0.3379138497467684,0.16531730103201486,0.24883326976494238,0.14559164261469995,0.1961320816097254,0.5513631949683192,0.302311598982525,0.2448827452679211,0.338646279200453,0.1777781705912329,0.3213469962627651,0.21806202689399826,0.5223335903940902,0.38816509433194296
NTPC,0.6544746170479157,0.73069314596052,0.23001396917112146,0.3567616509700872,0.3904487442680144,0.3491950451013574,0.3643304778023243,0.3463291052942734,0.7256951672811454,0.3182282909675335,0.5583899512841957,0.2618158728147381,0.1221688299890698,0.6655632965684476,0.1967774221818284,0.2967348557641018,0.4500108339933125,0.3409211577867336,0.4644814124482622,0.07834791408291042,0.24945834892007868,0.521005549449214,0.06093022829063875,0.44551442380058376,0.5143710101281604,0.23758208318044033,0.36785787297156186,0.5948801101322552,0.35632634743529257,0.6405992631024768,0.32449443675848316,0.18770435151247472,0.3139084968219667,1.0,0.628412279220423,0.7665661099333677,0.626214966797597,0.20886329956181504,0.6653375512097197,0.45659252356402275,0.2568207222110543,0.4060345093474009,0.5299100910609336,0.5884868354454421,0.28931749189364286,0.2680105124826522,0.38438537570312614,0.28699669548353424,0.6285887565337385,0.4149132061085932
ONGC,0.5225523251668751,0.5523769075205235,0.18872519249975,0.16799125425499187,0.32634637462005295,0.23200027062853734,0.31341853761819305,0.33071630835919275,0.5537177974554877,0.34617087069810826,0.6045890330306638,0.09085863320027412,0.04545075888639642,0.6675789210576906,0.20081652147555254,0.25769630396443793,0.35282638608602146,0.2621209813097929,0.3056895793325288,0.19547473325690437,0.22393938755861267,0.43507723441259927,0.002860879002907533,0.295407575454156,0.33759701888963245,0.248648956844682,0.22833224247299527,0.47150370240846845,0.25667756451455076,0.5545365072626774,0.29435057749034155,0.2739223189643698,0.10732590251868993,0.628412279220423,1.0,0.5325251412152812,0.5660098196750994,0.26555935372938827,0.5826862811428066,0.45534719891389835,0.24890192355289953,0.2301150953650777,0.47559524872442865,0.519530781905488,0.203600788654691,0.249820687595654,0.22589803955183954,0.23899484786250313,0.42143715326728154,0.3263197973967327
POWERGRID,0.5047407546010361,0.61321493634602,0.23111734789375266,0.2415568798169627,0.31493485410817823,0.30282371765714894,0.30332847075417957,0.2846991641931141,0.6523126684980898,0.2937372983162447,0.5216207953928332,0.1385420797841165,0.15835338813518676,0.6004484658246466,0.18401983769311947,0.2609421075015003,0.40783207740316835,0.28608580105615405,0.42575886256691786,-0.0033855578885485372,0.2252011792532468,0.5127818649658668,0.027238537449537227,0.3873809114930058,0.41103270267128955,0.2018565243206327,0.2573756945679133,0.5365296652153915,0.30399860105916043,0.5588561421454115,0.30283848701909094,0.2083543772521376,0.2753631088555405,0.7665661099333677,0.5325251412152812,1.0,0.5601820912498644,0.13908869276392147,0.5741130762514499,0.37786033328590946,0.2782285061038219,0.33418029990023124,0.45607160877268615,0.5647733332223274,0.24475575073150996,0.23140584832268202,0.26403642185041404,0.25136034108142596,0.5508056984119244,0.35013786197340313
RELIANCE,0.5993535813827107,0.6270188780417514,0.26187265107307806,0.38792285439200275,0.4343036661223248,0.3516123227417336,0.3890969756407941,0.42067890583729206,0.5844468941825146,0.3401313257184329,0.47516657090365105,0.26328069648738356,0.09357013667360883,0.5589679083918807,0.16591932243515067,0.3701935462383159,0.4509739045289536,0.3908603988148975,0.40291499838326933,0.13724612938791148,0.3278932082611364,0.44562030802255614,0.1563335738329059,0.472459868946486,0.44888984082445343,0.2688503642129493,0.3856045671743952,0.49929341879464745,0.4274251799884825,0.6060182244091031,0.3102247547362408,0.2808187320011568,0.3379138497467684,0.626214966797597,0.5660098196750994,0.5601820912498644,1.0,0.26973615951209867,0.611051422297938,0.4409119709915906,0.3150583433948115,0.36447173637883096,0.47578914596725835,0.499586034691788,0.35736454234648546,0.31847043976816375,0.3753055970372435,0.32895725560717853,0.6015613164357215,0.4848620748769324
